Caption,Description,Id,Session
Goswick Family Bridge; Murray County; dedicate,HR 1296,29588,2009_10
"Patient-Centered Physician Coalition of Georgia Day; Feb. 4, 2010; recognize ",HR 1297,29595,2009_10
"McMillan, Dr. Elridge W.; commend and invite to House",HR 1298,29596,2009_10
Andy Quinney Overpass; Garden City; dedicate,HR 1299,29647,2009_10
Sales and use tax; motor fuel collections; appropriated for transportation; provisions - CA,HR 1300,29652,2009_10
"H.G. ""T"" Fulcher Memorial Bridge; Richmond County; dedicate",HR 1301,29653,2009_10
"National Wear Red Day; Feb. 5, 2010; recognize",HR 1302,29617,2009_10
"Coker, James E. & Kaye Hames; 40th wedding anniversary; recognize",HR 1303,29618,2009_10
"Griffin, Mrs. Vivian Hamp; condolences",HR 1304,29619,2009_10
"Cummings, Mrs. Mary A. Moss; condolences ",HR 1305,29620,2009_10
"Howard, Mr. Robert; condolences ",HR 1306,29621,2009_10
"Calhoun, Mrs. Beverly W.; condolences",HR 1307,29622,2009_10
"Lowe, Mrs. Narvell Glover; condolences",HR 1308,29623,2009_10
"Berry, Mrs. Margaret L.; condolences",HR 1309,29624,2009_10
"Bryan, Mr. James H.; commend",HR 1310,29625,2009_10
"Brown, Mr. Michael; commend",HR 1311,29626,2009_10
"Logue, Clara; commend",HR 1312,29627,2009_10
"Sanders, Joseph; commend",HR 1313,29628,2009_10
"Cuddy, Mr. Dave; commend",HR 1314,29629,2009_10
"Ring, Mrs. Stephanie; commend",HR 1315,29630,2009_10
"Allgood, Mr. Luke; condolences",HR 1316,29631,2009_10
2010 class of Leadership Sandy Springs; commend,HR 1317,29632,2009_10
"McCollam, Dr. Stephen M.; commend ",HR 1318,29633,2009_10
"Thomas, Master James William ""Jamee""; high school graduation; honor",HR 1319,29635,2009_10
Peachtree Ridge High School; commend,HR 1320,29637,2009_10
"Floor, Kayla; commend",HR 1321,29638,2009_10
"Akande, Nicky; commend",HR 1322,29641,2009_10
"Corry, Dr. Larry; commend and invite to House",HR 1323,29642,2009_10
Collins Hill High School softball team; commend and invite to House,HR 1324,29644,2009_10
Rome Judicial Circuit; commend and invite to House,HR 1325,29646,2009_10
"Boyle, Dr. Stephen; commend and invite to House",HR 1326,29648,2009_10
Collins Hill High School wrestling team; commend and invite to House,HR 1327,29649,2009_10
Georgia Peach Festival; commend and invite 2010 Ga. Peach Queens to the House,HR 1328,29650,2009_10
Peach County High School football team; commend and invite to House,HR 1329,29651,2009_10
Georgia Citizens' Coalition on Hunger; Up & Out of Poverty Now!; commend,HR 1330,29696,2009_10
"Hankerson, Mr. David; commend",HR 1331,29697,2009_10
Partnership for Health and Accountability; commend,HR 1332,29698,2009_10
"Rural Health Day at the state capitol; Feb. 17, 2010; recognize",HR 1333,29699,2009_10
"Russell, James Grady; commend",HR 1334,29700,2009_10
Grits Café; commend,HR 1335,29701,2009_10
"Kupets, Ms. Courtney; Collegiate Woman Athlete of the Year; congratulate",HR 1336,29702,2009_10
"English, Dr. Carolyn McAdams; commend",HR 1337,29703,2009_10
"Garcia, Mr. Rob; commend",HR 1338,29704,2009_10
"Clark, Mr. George; condolences",HR 1339,29705,2009_10
"Jones, Mr. Marvin ""Lefty""; condolences",HR 1340,29706,2009_10
National Health Museum; recognize,HR 1341,29707,2009_10
"Womack, Mr. Roy Carlton; condolences",HR 1342,29708,2009_10
Georgia Academy of Audiology Day; commend & invite representatives to the House,HR 1343,29709,2009_10
"Lank, Ms. Michelle Smith; commend and invite to House",HR 1344,29710,2009_10
2008 Child Fatality Review Committee of the Year; commend & invite to House,HR 1345,29711,2009_10
"Yoculan, Coach Suzanne; commend and invite to House",HR 1346,29712,2009_10
"Portman, Mr. John Calvin; commend and invite to House",HR 1347,29713,2009_10
"Eagle Scouts of Troop 47 from Newnan, Georgia; commend and invite to House",HR 1348,29714,2009_10
Honorable Hugh D. Sosebee Bridge; Monroe County; dedicate,HR 1349,29775,2009_10
Dual Broadrick Memorial Highway; Whitfield County; dedicate,HR 1350,29776,2009_10
House Study Committee on Procurement Policies of Georgia Departments and Agencies Regarding Businesses Owned by Minorities and Women; create,HR 1351,29777,2009_10
"Reece, Sheriff Robert N. ""Butch""; commend",HR 1352,29765,2009_10
"Richards, Coach James ""Friday""; commend",HR 1353,29767,2009_10
"Alpha Kappa Alpha Day; Feb. 15, 2010; commend",HR 1354,29769,2009_10
"PAGE Day on Capitol Hill; Feb. 23, 2010; recognize",HR 1355,29772,2009_10
Hasan Shriners Barbeque Festival; qualifier; recognize,HR 1356,29773,2009_10
Congress; postpone effort to regulate greenhouse gases through Clean Air Act; request,HR 1357,29780,2009_10
Sales and use tax; 25 percent to transportation; dedicate - CA,HR 1358,29800,2009_10
House Study Committee on Video Gambling Machines; create,HR 1359,29801,2009_10
Georgia Lottery Corporation; review policies to include incentive and bonus payments; urge,HR 1360,29803,2009_10
Georgia Lottery Corporation; review policies to include incentive and bonus payments; urge,HR 1361,29804,2009_10
Boy Scouts of America program; 100th anniversary; commend,HR 1362,29815,2009_10
"Community Health Centers Day; Feb. 11, 2010; recognize",HR 1363,29823,2009_10
"Earth Hour; Saturday, March 27, 2010, from 8:30 P.M. to 9:30 P.M.; recognize",HR 1364,29824,2009_10
Chatham Co. Commission; Savannah Econ. Dev. Authority; Imperial Sugar; commend,HR 1365,29825,2009_10
"Clark, Mr. Wilson Burford, Jr.; commend",HR 1366,29826,2009_10
"Jordan, Hayden; commend",HR 1367,29827,2009_10
"Netherlands Day at the state capitol; Feb. 23, 2010; recognize",HR 1368,29828,2009_10
Mount Nebo United Methodist Church; 150th anniversary; commend,HR 1369,29829,2009_10
"Backus, Mrs. Denise; commend",HR 1370,29830,2009_10
"Kennedy, Mr. Alan; commend",HR 1371,29831,2009_10
"Derochers, Luke; commend",HR 1372,29832,2009_10
"Curry, McKennah; commend",HR 1373,29833,2009_10
"Shults, Eddie; commend",HR 1374,29834,2009_10
"Jones, Phillip Micah; commend",HR 1375,29835,2009_10
"Abel, Emma; commend",HR 1376,29836,2009_10
"Senior Week at the state capitol; Feb. 23, 2010; recognize",HR 1377,29838,2009_10
"Shapiro, Noah William; commend",HR 1378,29839,2009_10
"Rope, Evan Marshall; commend",HR 1379,29840,2009_10
"Wilkins, Dominique; NBA Hall of Famer; Georgia's Diabetes Ambassador; recognize",HR 1380,29841,2009_10
Ga. Perimeter Col.; Atl. Center for Civ. Engagement; Service Learning; recognize,HR 1381,29842,2009_10
"Elkins, Mr. Jack; condolences",HR 1382,29843,2009_10
Loganville High School wrestling team; commend and invite to House,HR 1383,29844,2009_10
Deputy Blake Gammill Memorial Highway; Douglas County; dedicate,HR 1384,29851,2009_10
"Alpha Fowler, Jr., Memorial Bridge; Douglas County; dedicate",HR 1385,29852,2009_10
"Toccoa-Stephens County Day; Feb. 10, 2010; recognize",HR 1386,29872,2009_10
"Penamon, Mr. David ""Junior"", Jr.; commend",HR 1387,29873,2009_10
"Miller, Lexie; commend",HR 1388,29874,2009_10
"Brock, Mrs. Dawn; commend",HR 1389,29875,2009_10
"Chandler, Mr. Todd; commend",HR 1390,29876,2009_10
"Edwards, John; commend",HR 1391,29877,2009_10
"Burn Awareness Week; Feb. 7-13, 2010; proclaim",HR 1392,29879,2009_10
Hotel Indigo; Athens; commend,HR 1393,29880,2009_10
"Patriots Day; April 19, 2010; Patriots of the American Revolution; recognize",HR 1394,29882,2009_10
"Hall, Dr. David; president; University of the Virgin Islands; commend",HR 1395,29883,2009_10
"Ehrhart,  Earl ""Quentin"" Day, V; commend",HR 1396,29884,2009_10
Warner Robins American Little League; commend and invite to House,HR 1397,29886,2009_10
"Alpha Phi Alpha Fraternity, Inc.; commend and invite representatives to House",HR 1398,29887,2009_10
"Waller, Mr. Ronald L.; commend and invite to House",HR 1399,29888,2009_10
Congress; not transfer Guantanamo Bay detainees within Georgia or United States; request,HR 1400,29862,2009_10
Coroner; shall be county officer; provide - CA,HR 1401,29894,2009_10
"Thornell, Mr. Allen Keith; condolences",HR 1402,29927,2009_10
"Winn, Ms. Margel D.; commend",HR 1403,29928,2009_10
"Marchand, Mr. Doug J.; retirement; recognize",HR 1404,29929,2009_10
"Strozier, Mr. William C. ""Billy""; commend",HR 1405,29930,2009_10
"Waller, Mr. Ronald L.; commend",HR 1406,29931,2009_10
"Ray, Mr. Michael L.; commend",HR 1407,29932,2009_10
"Harris, Mr. Charlie Frank; commend",HR 1408,29933,2009_10
"Boy Scouts of America Day at the state capitol; Feb. 11, 2010; recognize",HR 1409,29934,2009_10
United States President and Congress; secure borders; reject 1986 legalization program repeat; urge,HR 1410,30005,2009_10
"Veazey, Chance; commend and invite to House",HR 1411,30008,2009_10
"Perno, Coach David; commend and invite to House",HR 1412,30009,2009_10
"Dillon, Mr. Mike; commend and invite to House",HR 1413,30010,2009_10
"Reece, Sheriff Robert N. ""Butch""; commend and invite to House",HR 1414,30011,2009_10
Sandy Creek High School football team; commend and invite to House,HR 1415,30012,2009_10
"""Lawmakers""; 40th season; commend and invite to House",HR 1416,30029,2009_10
"Hair Loss Summit Day in Georgia; Feb. 20, 2010; recognize ",HR 1417,30013,2009_10
"O'Neal, Dr. Patrick; commend",HR 1418,30014,2009_10
"Efird, Betty & Mike; commend",HR 1419,30015,2009_10
"Connally, Mrs. Elaine; condolences",HR 1420,30016,2009_10
"Hill, Mr. Walter Lee, Sr.; condolences",HR 1421,30017,2009_10
"Johnson, Terry Mark; TJ and Friends Foundation, Inc.; commend",HR 1422,30018,2009_10
"Reid, Coach Richard; 1,000th win; commend",HR 1423,30019,2009_10
"Strock, Mrs. Dori; commend",HR 1424,30020,2009_10
"National Sorority of Phi Delta Kappa, Inc., Day; Feb. 17, 2010; recognize",HR 1425,30021,2009_10
"DuBose, Mr. Edward O.; commend",HR 1426,30022,2009_10
"Emergency Medical Services Recognition Day; Feb. 18, 2010; recognize",HR 1427,30023,2009_10
Emergency Medical Services (EMS) Week; recognize ,HR 1428,30024,2009_10
"Gay, Ms. Pat; retirement; recognize",HR 1429,30025,2009_10
"Williams, Mr. Jeremy; commend",HR 1430,30026,2009_10
"Arneson, Mr. Mark E.; National Commander; Sons of the American Legion; commend",HR 1431,30027,2009_10
Local ad valorem tax; reduce or eliminate with 1 percent sales tax; authorize - CA,HR 1432,30052,2009_10
Joint session; message from Chief Justice of Supreme Court; reschedule,HR 1433,30055,2009_10
Charles Thomas Edwards Memorial Bridge; Jasper County; dedicate,HR 1434,30078,2009_10
House Study Committee on Hotel-Motel Tax; create,HR 1435,30079,2009_10
"Wayt, Mr. John Augustus, Jr.; condolences",HR 1436,30088,2009_10
"Grigsby, Mr. Richard Howard; condolences ",HR 1437,30089,2009_10
Police chiefs; heads of law enforcement; commend,HR 1438,30090,2009_10
"Building Owners and Managers Association-Atlanta Day; Feb. 22, 2010; recognize",HR 1439,30091,2009_10
"Palmer, Grace; commend",HR 1440,30092,2009_10
National Rural Electric Cooperative Association; commend,HR 1441,30093,2009_10
"McAbee, Coach Clint; commend",HR 1442,30094,2009_10
"Parkinson's Day at the state capitol; Feb. 18, 2010; recognize",HR 1443,30095,2009_10
"Lupus Awareness Day at the state capitol; Feb. 17, 2010; declare",HR 1444,30096,2009_10
"Platt, ""General"" Larry; commend and invite to House",HR 1445,30097,2009_10
State Transportation Board; members term of office; limit - CA,HR 1446,30087,2009_10
"Omega Psi Phi Fraternity, Inc.; Feb. 18, 2010; commend & invite members to House",HR 1447,30122,2009_10
Ad valorem tax exemption; net job producing jurisdictions; provide - CA,HR 1448,30156,2009_10
Georgia Composite Medical Board; surgery and anesthesia; establish regulations; urge,HR 1449,30174,2009_10
SFC John Beale Hero's Highway; Henry County; dedicate,HR 1450,30175,2009_10
"Rogers, Kenny; commend and invite to House",HR 1451,30176,2009_10
"Jones, Reverend Warren L.; commend and invite to House",HR 1452,30177,2009_10
"Scott, Mrs. Ella Young; commend and invite",HR 1453,30178,2009_10
Black Doll Affair Social Movement; commend and invite to House,HR 1454,30179,2009_10
"Irvin, Commissioner Tommy; commend and invite to House",HR 1455,30180,2009_10
"Lane, Honorable Roger B.; commend",HR 1456,30181,2009_10
"Phi Beta Sigma Fraternity, Inc.; commend",HR 1457,30182,2009_10
Zeta Phi Beta Sorority; commend,HR 1458,30183,2009_10
"Smith, Chaplain Donald G.; commend",HR 1459,30184,2009_10
"Tanner, Mr. Tony; commend",HR 1460,30185,2009_10
"Esco, Terry; police chief of Braselton, Georgia; commend ",HR 1461,30186,2009_10
"Braselton, Mr. Henry Edward; condolences",HR 1462,30187,2009_10
"Johnson, Mr. Cedric J.; commend",HR 1463,30188,2009_10
"Phillips, Mr. Eddie; condolences",HR 1464,30189,2009_10
"McCauley, Sarah; commend",HR 1465,30191,2009_10
"Evans, Mrs. Willie Mae; 100th birthday; recognize",HR 1466,30190,2009_10
"Ga. Council on Aging; District 44 Senior Citizens Day; Feb. 24, 2010; recognize",HR 1467,30192,2009_10
"Lovett, Chief Willie C.; Chief of Police; Savannah-Chatham; commend",HR 1468,30193,2009_10
"Johnson, Mr. Forest, Sr.; condolences",HR 1469,30194,2009_10
"Transit Day in Georgia; Feb. 18, 2010; recognize",HR 1470,30195,2009_10
"Tate, Mrs. Bettina Polite; commend",HR 1471,30196,2009_10
"Geiger, Laura & Walter; commend",HR 1472,30197,2009_10
" Savannah Chapter #159 of the Order of the Eastern Star, Prince Hall; commend",HR 1473,30198,2009_10
T.C. Coogle Memorial Bridge; Oglethorpe County; dedicate,HR 1474,30205,2009_10
Veterans' Memorial Highway; Peach County; dedicate,HR 1475,30206,2009_10
General Assembly; veto sessions; provide - CA,HR 1476,30207,2009_10
"Walter Curtis Butler, Jr. Memorial Bridge; Morgan County; near US 278; dedicate",HR 1477,30211,2009_10
"Walter Curtis Butler, Jr. Memorial Bridge; Morgan County; over I-20; dedicate",HR 1478,30212,2009_10
SP-5 Harry E. Chesser Memorial Bridge; Brantley County; dedicate,HR 1479,30215,2009_10
Lottery funds; used for programs to assist learning disabled children; provide - CA,HR 1480,30228,2009_10
"Murphy, Thomas B.; official portrait; provide ceremony; honor",HR 1481,30232,2009_10
Harry L. Portier Memorial Bridge; Irwin County; dedicate,HR 1482,30245,2009_10
Rev. H.G. Jarrard Memorial Intersection; Hall County; dedicate,HR 1483,30282,2009_10
United States Congress; not pass legislation preventing state from collecting third-party hotel-motel tax; request,HR 1484,30283,2009_10
Professional Standards Commission; Certification and Professional Learning Task Force; create,HR 1485,30297,2009_10
Georgia law enforcement officers; write citations legibly; urge,HR 1486,30320,2009_10
"Community Health, Department of; data collection of chronic obstructive pulmonary disease; pass regulations",HR 1487,30321,2009_10
"Desselle, Mrs. Gwen; 2010 Ga. Teacher of the Year; commend and invite to House",HR 1488,30326,2009_10
Junior Leagues of Georgia; commend and invite members to House,HR 1489,30327,2009_10
"Houts, Ashley; commend and invite to House",HR 1490,30328,2009_10
Gatewood Lady Gators basketball team; commend and invite to House,HR 1491,30330,2009_10
St. Patrick's Day Parade Committee; commend and invite members to House,HR 1492,30331,2009_10
"Peoples, Ms. Dottie; commend and invite to House",HR 1493,30332,2009_10
"Peoples, Ms. Dottie; commend ",HR 1494,30333,2009_10
"Desselle, Gwen; commend",HR 1495,30354,2009_10
"Trimm, Dr. Cindy; commend",HR 1496,30334,2009_10
"Girl Scout Day at the state capitol; March 12, 2010; recognize",HR 1497,30335,2009_10
"Links Day at the state capitol; March 10, 2010; recognize",HR 1498,30336,2009_10
"Jones, Reverend Michael A.; 55th pastoral anniversary; recognize",HR 1499,30337,2009_10
American Legion Post 143; 75th anniversary; recognize,HR 1500,30338,2009_10
"Welch, Mrs. Tina Lawson; condolences ",HR 1501,30339,2009_10
"Crawford, Deputy Davy Wayne ""Dave""; condolences",HR 1502,30340,2009_10
"Davis, Mr. Desse Ervin; commend",HR 1503,30341,2009_10
"Strayhorn, Ms. Terri; commend",HR 1504,30343,2009_10
"Conner, Miss Whitney Leah; 2010 Georgia Watermelon Queen; commend",HR 1505,30344,2009_10
"Barr, Sergeant Charles; commend",HR 1506,30345,2009_10
"Stephens, General Robert ""Steve""; commend",HR 1507,30346,2009_10
"Zellman, Mr. Anton J.; commend",HR 1508,30347,2009_10
"Hale, Reverend Dr. Wimbley, Jr.; commend",HR 1509,30348,2009_10
American Red Cross Month in Georgia; March 2010; proclaim,HR 1510,30349,2009_10
"Clergy Day at the state capitol; March 9, 2010; recognize",HR 1511,30350,2009_10
"Dialysis Patient Citizens; Georgia Dialysis Day; March 3, 2010; recognize",HR 1512,30351,2009_10
Little's Ferry/George F. Green Memorial Bridge; Hancock and Putnam Counties; dedicate,HR 1513,30324,2009_10
Adjournment; relative to,HR 1514,30373,2009_10
Georgia Commission For Entrepreneurship Excellence; create,HR 1515,30395,2009_10
United States Congress; not decommission Coast Guard Security Team 91108; urge,HR 1516,30396,2009_10
United States Congress; fully fund Resources Conservation and Development Program; urge,HR 1517,30397,2009_10
"Cox, Bobby; commend and invite to House",HR 1518,30412,2009_10
"Peoples, Dottie; Clergy Day; commend ",HR 1519,30413,2009_10
"Lee, Pastor Eric Wendell; commend",HR 1520,30414,2009_10
"Tyre, Apostle Jacquie; commend",HR 1521,30415,2009_10
"Moss, Pastor Marvin; commend",HR 1522,30416,2009_10
"Bronner, Pastor Nathaniel; commend",HR 1523,30417,2009_10
"Alvarado, Dr. Toni; commend ",HR 1524,30418,2009_10
"McKenzie, Sabrina; commend",HR 1525,30419,2009_10
"Harris, C.J.; commend",HR 1526,30420,2009_10
"Omalami, Dr. Elizabeth; commend",HR 1527,30421,2009_10
"Trimm, Dr. Cindy; commend",HR 1528,30423,2009_10
"Mikkilinen, Dr. Hyma Vati; commend",HR 1529,30424,2009_10
"Green, Dr. Valeria Tate; commend",HR 1530,30425,2009_10
"Hawkins, Bishop Gary; commend",HR 1531,30426,2009_10
"Bullock, DeeDee; commend",HR 1532,30427,2009_10
"Hopkins, Dr. Jamal; commend",HR 1533,30428,2009_10
"Thurmond, Michael; commend",HR 1534,30429,2009_10
"DeJan, Talein; commend",HR 1535,30430,2009_10
"Lapidus, Rabbi Loren Filson; commend",HR 1536,30431,2009_10
"Taylor, Dr. Hope; commend",HR 1537,30432,2009_10
"Wall, Russell; commend",HR 1538,30444,2009_10
"Hill, Marian; commend",HR 1539,30445,2009_10
"Thurston, Gene; commend",HR 1540,30446,2009_10
"Restrepo, Chelsie Marie; commend",HR 1541,30447,2009_10
"Barber, Lynn; commend",HR 1542,30448,2009_10
"Mixon, Cynthia; commend",HR 1543,30449,2009_10
"Mixon, Cynthia; commend",HR 1544,30450,2009_10
"Smith, Katy; commend",HR 1545,30451,2009_10
"Specht, Geni; commend",HR 1546,30452,2009_10
"Andraszek, Robert; commend",HR 1547,30453,2009_10
"Moore, Ginger; commend",HR 1548,30454,2009_10
"Maxwell, Judy; commend",HR 1549,30455,2009_10
"Shinn, Anthony; commend",HR 1550,30456,2009_10
"McElhenney, Christi; commend",HR 1551,30457,2009_10
"Keebler, John; commend",HR 1552,30458,2009_10
"Murray, Jamie; commend",HR 1553,30459,2009_10
"Maddox, Bonnie; commend",HR 1554,30460,2009_10
"Dugan, Mark; commend",HR 1555,30461,2009_10
"Farley, Andrea; commend",HR 1556,30462,2009_10
"Marks, Reverend Jack; commend",HR 1557,30463,2009_10
"Coronel, Jenny; commend",HR 1558,30464,2009_10
"Crudup, Alisa; commend",HR 1559,30465,2009_10
"Crawford, Nichole; commend",HR 1560,30466,2009_10
"Anderson, Dinah; commend",HR 1561,30467,2009_10
"Brown, Ralph; commend",HR 1562,30468,2009_10
Solomon's Porch Ministries; commend,HR 1563,30469,2009_10
"Pridemore, Jamie; commend",HR 1564,30470,2009_10
Valdosta State University; commend,HR 1565,30471,2009_10
"Chancy, Patrick; commend",HR 1566,30472,2009_10
"Anderson, Mr. Richard A.; commend",HR 1567,30473,2009_10
"Conine, Mr. James L.; commend",HR 1568,30474,2009_10
Early County 2055; Birdsong Peanut Company; commend,HR 1569,30475,2009_10
8th Global Mural Arts & Cultural Tourism Assoc. Conference; commend,HR 1570,30476,2009_10
"Cheely, Honorable Selma Parris; condolences",HR 1571,30477,2009_10
"Stowe, Officer Scott; commend",HR 1572,30478,2009_10
"Caldwell, Mr. Daniel ""Dan"" David; condolences",HR 1573,30479,2009_10
"Cleveland, Mr. Alton Jerry, Sr.; condolences",HR 1574,30480,2009_10
"Waggoner, Honorable John; commend",HR 1575,30481,2009_10
"Turner, Mr. Cecil; condolences",HR 1576,30482,2009_10
"Gilbert, Ms. Andrea Allison; commend",HR 1577,30483,2009_10
"Dewberry, Mr. John K.; commend",HR 1578,30484,2009_10
"DeCotis, Dr. John; commend",HR 1579,30485,2009_10
"Green, Conner; commend",HR 1580,30486,2009_10
"Roberts, Ms. Becky; commend",HR 1581,30487,2009_10
Monticello First United Methodist Church; commend,HR 1582,30488,2009_10
Georgia Institute of Technology; commend,HR 1583,30489,2009_10
"Wilson, Mr. Michael A ""Mickey""; condolences",HR 1584,30490,2009_10
"Registered Dieticians Day at the state capitol; March 10, 2010; recognize",HR 1585,30491,2009_10
"Catholic Day at the state capitol; March 10, 2010; recognize",HR 1586,30492,2009_10
"Council on Aging; District 44 Senior Citizens Day; March 10, 2010; recognize",HR 1587,30493,2009_10
State of Georgia property; certain counties; nonexclusive easements; authorize,HR 1588,30443,2009_10
County functions; more than 80 percent of land in one or more municipal corporations; limit - CA,HR 1589,30505,2009_10
Colleges of agriculture; Department of Agriculture jurisdiction; transfer - CA,HR 1590,30525,2009_10
Young Marines of Metro Atlanta; commend and invite to House,HR 1591,30536,2009_10
"Betty, Kathy; Atlanta Dream owner; commend and invite to House",HR 1592,30537,2009_10
"McCoughtry, Ms. Angel; 2009 WNBA Rookie of the Year; commend and invite to House",HR 1593,30538,2009_10
"Meadors, Coach Marynell; 2009 WNBA Coach of the Year; commend & invite to House",HR 1594,30539,2009_10
"Perkins, Mr. Calvin Douglas; condolences",HR 1595,30540,2009_10
"Butler-McIntyre, Mrs. Cynthia M.A.; commend",HR 1596,30541,2009_10
Georgia State Patrol Post 19; commend,HR 1597,30542,2009_10
"Wilson, Steve; Walker County Sheriff; commend",HR 1598,30543,2009_10
"Hutcheson Medical Center Laboratory; Lab Week; April 18-24, 2010; recognize",HR 1599,30544,2009_10
"Richwagen, Nick; commend",HR 1600,30545,2009_10
"Mishou, Tom; condolences",HR 1601,30546,2009_10
Cub Scout Pack 3052; commend,HR 1602,30547,2009_10
"Keenan, Vernon; Georgia Bureau of Investigation Director; commend",HR 1603,30548,2009_10
"Day, Dean Burke; birth; honor",HR 1604,30549,2009_10
"Broy, Mr. Andrew; commend",HR 1605,30550,2009_10
"Johnson, Mr. James S. ""Jimmy""; condolences ",HR 1606,30551,2009_10
Griffin Lodge #1207; Benevolent and Protective Order of Elks; recognize,HR 1607,30552,2009_10
"Rice, Mr. George Erskine; condolences",HR 1608,30553,2009_10
"Shearron, Dr. Gilbert F.; commend",HR 1609,30554,2009_10
"Kicklighter, Kella L.; commend",HR 1610,30555,2009_10
"Parish, Katherine; commend",HR 1611,30556,2009_10
"Anderson, Paul W.; commend",HR 1612,30557,2009_10
"Martin, Stephanie; commend",HR 1613,30558,2009_10
"Carson, Jerri R.; commend",HR 1614,30559,2009_10
"Williams, Marielle; commend",HR 1615,30560,2009_10
"Mock, Andrew J.; commend",HR 1616,30561,2009_10
"Heath, Joshua M.; commend",HR 1617,30562,2009_10
"Ford, D'aia; commend",HR 1618,30563,2009_10
"Chapman, David L.; commend",HR 1619,30564,2009_10
"Hennen, Laurie Ann; commend",HR 1620,30565,2009_10
"Lee, Chia-chi; commend",HR 1621,30566,2009_10
"Sykes, Taylor Darice; commend",HR 1622,30567,2009_10
"Shelnutt, Matthew Brian; commend",HR 1623,30568,2009_10
"Andrews, Rayna J.; commend",HR 1624,30569,2009_10
Timmons Kristin S.; commend,HR 1625,30570,2009_10
"Taylor, Kristin N.; commend",HR 1626,30571,2009_10
"Yambert, Whitney de; commend",HR 1627,30572,2009_10
"Johnson, Jennifer Nichole; commend",HR 1628,30573,2009_10
"Beasley, Cassie; commend",HR 1629,30574,2009_10
"Blackmon, Tonya J.; commend",HR 1630,30575,2009_10
"Dorner, Stephen Christopher; commend",HR 1631,30576,2009_10
"Hambrick, Roxanne; commend",HR 1632,30577,2009_10
"Gann, Brittany Sumner; commend",HR 1633,30578,2009_10
"Hartt, Ashley; commend",HR 1634,30579,2009_10
"Watkins, Vincent Y.; commend",HR 1635,30580,2009_10
"Springer, Leah O.; commend ",HR 1636,30581,2009_10
"Ayers, David C.; commend",HR 1637,30582,2009_10
"Tooley, Kate; commend",HR 1638,30583,2009_10
"Arnold, Elana Eurelle; commend",HR 1639,30584,2009_10
"Staskevicius, Alina; commend",HR 1640,30585,2009_10
"Blum, Connie D.; commend",HR 1641,30586,2009_10
"Thompson, Lemaro R.; commend",HR 1642,30590,2009_10
"Morgan, Mary; commend",HR 1643,30587,2009_10
"Lee, Tien; commend",HR 1644,30588,2009_10
"Walker, Charles O.; commend",HR 1645,30589,2009_10
President Obama and Congress; reject legalizing illegal aliens; urge,HR 1646,30592,2009_10
"Dolph Fuller, Jr. Memorial Bridge; Gordon County; dedicate",HR 1647,30604,2009_10
Public safety and transportation commissioners; increase maximum speed limit on parts of Interstate 185; urge,HR 1648,30629,2009_10
Georgia Congressional Delegation; support legislation to prevent carbon emissions regulation; urge,HR 1649,30632,2009_10
Governor and Attorney General; sue Environmental Protection Agency to prevent carbon emissions regulation; urge,HR 1650,30636,2009_10
General Assembly; local education boards pay election expenses; require - CA,HR 1651,30651,2009_10
Excise tax; cigarettes; proceeds to health care; provide - CA,HR 1652,30652,2009_10
"Williams, Mr. Jeremy; Williams Family; commend and invite to House",HR 1653,30663,2009_10
"Smith, Chief Hubert L. ""Frog""; commend and invite to House",HR 1654,30664,2009_10
"Peebles, Captain Tim; condolences; invite family to House",HR 1655,30665,2009_10
"Campbell, Mr. Larry; commend and invite to House",HR 1656,30666,2009_10
"Brooks, Mr. Joseph Daniel ""Jody""; recognize fundraiser; condolences",HR 1657,30667,2009_10
"Bevino, Mr. Billy L.; condolences",HR 1658,30668,2009_10
QT Kitchens; Quik Trip Corporation; commend,HR 1659,30669,2009_10
Technology Student Association & Robotics Teams of Sol C. Johnson H.S.; commend,HR 1660,30670,2009_10
"Benitez, Camilo; commend",HR 1661,30671,2009_10
2012 U.S. Hispanic Chamber of Commerce Nat'l. Convention/Business Expo; commend,HR 1662,30672,2009_10
"Vanapalli, Dr. Tulasi R.; commend",HR 1663,30673,2009_10
"Shumaker, Deputy Yolanda; commend",HR 1664,30674,2009_10
"Babb, Police Sergeant Robert Joel; retirement; recognize",HR 1665,30675,2009_10
2010 Georgia Cotton Queens; commend,HR 1666,30676,2009_10
"McLeod, Laura Lyn; Miss University of Georgia 2010; commend",HR 1667,30677,2009_10
"Davis, Mrs. Ruby Watson; 100th birthday; celebrate ",HR 1668,30678,2009_10
YMCA of Georgia's Youth Assembly; commend,HR 1669,30679,2009_10
"Hayes, Mr. Abbott Swift; condolences ",HR 1670,30680,2009_10
"Dill, Mr. William F. ""Bill""; condolences",HR 1671,30681,2009_10
"Bennett, Mr. J. Woodfin ""J.W.""; condolences",HR 1672,30682,2009_10
"Barnett, Sylvester & Patricia; commend; 50th anniversary; recognize",HR 1673,30683,2009_10
"Erwin, R.L. & Helen; 70th wedding anniversary; recognize",HR 1674,30684,2009_10
"Gay, Barbara & Richard; commend",HR 1675,30685,2009_10
"Bryant, Mr. Harold Eugene; condolences",HR 1676,30686,2009_10
"Walls, William & Vera; 75th wedding anniversary; commend",HR 1677,30687,2009_10
"Denmark, Dr. Leila; 112th birthday; celebrate",HR 1678,30688,2009_10
"Columbus Day at the state capitol; March 18, 2010; recognize",HR 1679,30689,2009_10
